draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.nameDisplay.isEmphasized,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.nameDisplay.isEmphasized,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash
61027,20689121,Isaiah,Hartenstein,Isaiah Hartenstein,I. Hartenstein,1057004,33079,C,462,4600,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33079.png,https://dkn.gs/sports/images/nba/players/160/33079.png,"","",5774049,SAS @ LAC,SAS, @ ,LAC,TRUE,2021-12-21T03:30:00.0000000Z,5774049,SAS @ LAC,SAS, @ ,LAC,TRUE,2021-12-21T03:30:00.0000000Z,219,20.1,20.1,-2,22nd,22,High,,,12,LAC,1057004-5774049
61027,20689123,Moses,Wright,Moses Wright,M. Wright,1060920,592433,SF/PF,460,3000,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/592433.png,https://dkn.gs/sports/images/nba/players/160/592433.png,"","",5774049,SAS @ LAC,SAS, @ ,LAC,TRUE,2021-12-21T03:30:00.0000000Z,5774049,SAS @ LAC,SAS, @ ,LAC,TRUE,2021-12-21T03:30:00.0000000Z,-2,24th,24,219,-,"",High,,,12,LAC,1060920-5774049
61027,20689127,Lonnie,Walker IV,Lonnie Walker IV,L. Walker IV,1060928,33365,SG/SF,459,4200,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33365.png,https://dkn.gs/sports/images/nba/players/160/33365.png,"","",5774049,SAS @ LAC,SAS, @ ,LAC,TRUE,2021-12-21T03:30:00.0000000Z,5774049,SAS @ LAC,SAS, @ ,LAC,TRUE,2021-12-21T03:30:00.0000000Z,219,20.7,20.7,-2,19th,19,Medium,,,24,SAS,1060928-5774049
61027,20689132,Davion,Mitchell,Davion Mitchell,D. Mitchell,1061659,591009,PG/SG,458,3700,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/591009.png,https://dkn.gs/sports/images/nba/players/160/591009.png,"","",5772711,SAC @ GSW,SAC, @ ,GSW,TRUE,2021-12-21T03:00:00.0000000Z,5772711,SAC @ GSW,SAC, @ ,GSW,TRUE,2021-12-21T03:00:00.0000000Z,219,20.2,20.2,-2,20th,20,Medium,,,23,SAC,1061659-5772711
61027,20689136,Jordan,Poole,Jordan Poole,J. Poole,1067671,33061,PG/SG,458,6200,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33061.png,https://dkn.gs/sports/images/nba/players/160/33061.png,"","",5772711,SAC @ GSW,SAC, @ ,GSW,TRUE,2021-12-21T03:00:00.0000000Z,5772711,SAC @ GSW,SAC, @ ,GSW,TRUE,2021-12-21T03:00:00.0000000Z,219,29.9,29.9,-2,24th,24,High,,,9,GSW,1067671-5772711
61027,20689140,Matt,Coleman III,Matt Coleman III,M. Coleman III,1071925,592442,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/592442.png,https://dkn.gs/sports/images/nba/players/160/592442.png,"","",5772711,SAC @ GSW,SAC, @ ,GSW,TRUE,2021-12-21T03:00:00.0000000Z,5772711,SAC @ GSW,SAC, @ ,GSW,TRUE,2021-12-21T03:00:00.0000000Z,-2,20th,20,219,-,"",Medium,,,23,SAC,1071925-5772711
61027,20689144,Marvin,Bagley III,Marvin Bagley III,M. Bagley III,1076209,33347,PF,461,4600,OUT,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33347.png,https://dkn.gs/sports/images/nba/players/160/33347.png,"","",5772711,SAC @ GSW,SAC, @ ,GSW,TRUE,2021-12-21T03:00:00.0000000Z,5772711,SAC @ GSW,SAC, @ ,GSW,TRUE,2021-12-21T03:00:00.0000000Z,219,18.7,18.7,-2,14th,14,Medium,,,23,SAC,1076209-5772711
61027,20689147,Emanuel,Terry,Emanuel Terry,E. Terry,1122290,58981,PF,461,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/58981.png,https://dkn.gs/sports/images/nba/players/160/58981.png,"","",5772711,SAC @ GSW,SAC, @ ,GSW,TRUE,2021-12-21T03:00:00.0000000Z,5772711,SAC @ GSW,SAC, @ ,GSW,TRUE,2021-12-21T03:00:00.0000000Z,-2,14th,14,219,-,"",Medium,,,23,SAC,1122290-5772711
61027,20689150,Tre,Jones,Tre Jones,T. Jones,1132030,527244,PG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/527244.png,https://dkn.gs/sports/images/nba/players/160/527244.png,"","",5774049,SAS @ LAC,SAS, @ ,LAC,TRUE,2021-12-21T03:30:00.0000000Z,5774049,SAS @ LAC,SAS, @ ,LAC,TRUE,2021-12-21T03:30:00.0000000Z,219,9.1,9.1,-2,24th,24,High,,,24,SAS,1132030-5774049
61027,20689153,Devin,Vassell,Devin Vassell,D. Vassell,1132051,527223,SF/PF,460,4100,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/527223.png,https://dkn.gs/sports/images/nba/players/160/527223.png,"","",5774049,SAS @ LAC,SAS, @ ,LAC,TRUE,2021-12-21T03:30:00.0000000Z,5774049,SAS @ LAC,SAS, @ ,LAC,TRUE,2021-12-21T03:30:00.0000000Z,219,22.0,22.0,-2,19th,19,Medium,,,24,SAS,1132051-5774049
