name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
D. Murray,$9.8k,PG,2,SA,POR,26,+5,215,105,23.5,48.6,59.8,47.8,4.87
J. Randle,$9.5k,PF/C,1,NY,CHI,22,+2,210,104,26.5,40.7,50.5,46.3,4.87
Chris Paul,$8.6k,PG,1,PHO,DET,30,-12,207.5,109.8,21.0,37.3,50.0,44.0,5.12
Jrue Holiday,$7.4k,PG,0,MIL,TOR,15,-4.5,216,110.3,32.5,38.4,47.3,43.5,5.88
K. Middleton,$7.2k,SG/SF,0,MIL,TOR,18,-4.5,216,110.3,21.5,31.2,37.5,42.3,5.87
Fred VanVleet,$8.9k,PG/SG,1,TOR,MIL,12,+4.5,216,105.8,31.3,40.6,48.5,42.3,4.75
P. Siakam,$8.7k,C,1,TOR,MIL,1,+4.5,216,105.8,31.3,37.1,42.5,40.8,4.68
CJ McCollum,$8.5k,PG/SG,1,POR,SA,24,-5,215,110,28.8,37.8,47.5,40.3,4.74
B. Portis,$7.1k,PF/C,0,MIL,TOR,30,-4.5,216,110.3,21.8,31.8,46.0,39.8,5.6
D. DeRozan,$9.0k,PF,2,CHI,NY,10,-2,210,106,22.3,35.5,45.3,39.3,4.36
N. Vucevic,$9.3k,C,2,CHI,NY,7,-2,210,106,32.0,42.0,62.5,38.8,4.17
Zach LaVine,$8.8k,SG/SF,2,CHI,NY,9,-2,210,106,24.0,33.3,40.5,38.0,4.32
J. Nurkic,$7.0k,C,1,POR,SA,30,-5,215,110,22.3,36.9,59.3,38.0,5.43
Cade Cunningham,$7.9k,PG/SG,1,DET,PHO,25,+12,207.5,97.8,19.3,31.3,43.8,37.0,4.68
J. Jackson Jr.,$7.1k,PF/C,1,MEM,OKC,13,-9.5,212,110.8,23.3,34.7,46.0,36.8,5.18
D. Ayton,$7.6k,C,1,PHO,DET,20,-12,207.5,109.8,16.5,34.5,47.8,36.3,4.77
Luguentz Dort,$5.7k,SG/SF,0,OKC,MEM,13,+9.5,212,101.3,16.3,29.0,38.8,35.5,6.23
Alec Burks,$6.5k,PG/SF,1,NY,CHI,5,+2,210,104,15.8,30.3,46.3,35.0,5.38
S. Barnes,$7.5k,SF/PF,1,TOR,MIL,30,+4.5,216,105.8,31.8,38.6,43.8,35.0,4.67
Lonzo Ball,$7.2k,PG,2,CHI,NY,28,-2,210,106,10.8,32.2,41.8,34.8,4.83
