draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,playerGameAttributes.id,playerGameAttributes.value,teamId,teamAbbreviation,playerGameHash
63753,21347752,Frank,Ntilikina,Frank Ntilikina,F. Ntilikina,1056995,33237,PG/SG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33237.png,https://dkn.gs/sports/images/nba/players/160/33237.png,"","",5775537,DAL @ MIA,DAL,TRUE, @ ,MIA,2022-02-16T00:30:00.0000000Z,5775537,DAL @ MIA,DAL,TRUE, @ ,MIA,2022-02-16T00:30:00.0000000Z,219,9.1,9.1,-2,1st,1,Low,,,6,DAL,1056995-5775537
63753,21347583,Isaiah,Hartenstein,Isaiah Hartenstein,I. Hartenstein,1057004,33079,C,462,3400,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/33079.png,https://dkn.gs/sports/images/nba/players/160/33079.png,"","",5777607,LAC @ PHX,LAC,TRUE, @ ,PHX,2022-02-16T03:00:00.0000000Z,5777607,LAC @ PHX,LAC,TRUE, @ ,PHX,2022-02-16T03:00:00.0000000Z,219,18.5,18.5,-2,8th,8,Low,,,12,LAC,1057004-5777607
63753,21347851,Sandro,Mamukelashvili,Sandro Mamukelashvili,S. Mamukelashvili,1060351,591058,PF/C,461,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591058.png,https://dkn.gs/sports/images/nba/players/160/591058.png,"","",5775549,IND @ MIL,IND,TRUE, @ ,MIL,2022-02-16T01:00:00.0000000Z,5775549,IND @ MIL,IND,TRUE, @ ,MIL,2022-02-16T01:00:00.0000000Z,219,6.9,6.9,-2,14th,14,Medium,,,15,MIL,1060351-5775549
63753,21348106,Ty-Shon,Alexander,Ty-Shon Alexander,T. Alexander,1060385,528600,SG,459,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/528600.png,https://dkn.gs/sports/images/nba/players/160/528600.png,"","",5777607,LAC @ PHX,LAC,TRUE, @ ,PHX,2022-02-16T03:00:00.0000000Z,5777607,LAC @ PHX,LAC,TRUE, @ ,PHX,2022-02-16T03:00:00.0000000Z,-2,12th,12,219,-,"",Medium,,,21,PHX,1060385-5777607
63753,21347935,Mitch,Ballock,Mitch Ballock,M. Ballock,1060387,592480,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/players/50/592480.png,https://dkn.gs/sports/images/nba/players/160/592480.png,"","",5771577,CLE @ ATL,CLE,TRUE, @ ,ATL,2022-02-16T00:30:00.0000000Z,5771577,CLE @ ATL,CLE,TRUE, @ ,ATL,2022-02-16T00:30:00.0000000Z,-2,9th,9,219,-,"",Low,,,5,CLE,1060387-5771577
63753,21348160,Naji,Marshall,Naji Marshall,N. Marshall,1060704,535788,SF,460,3000,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/535788.png,https://dkn.gs/sports/images/nba/players/160/535788.png,"","",5776683,MEM @ NOP,MEM,TRUE, @ ,NOP,2022-02-16T01:00:00.0000000Z,5776683,MEM @ NOP,MEM,TRUE, @ ,NOP,2022-02-16T01:00:00.0000000Z,219,8.3,8.3,-2,17th,17,Medium,,,3,NOP,1060704-5776683
63753,21347544,Jose,Alvarado,Jose Alvarado,J. Alvarado,1060919,591175,PG,458,3500,None,TRUE,FALSE,Breaking,https://dkn.gs/sports/images/nba/players/50/591175.png,https://dkn.gs/sports/images/nba/players/160/591175.png,"","",5776683,MEM @ NOP,MEM,TRUE, @ ,NOP,2022-02-16T01:00:00.0000000Z,5776683,MEM @ NOP,MEM,TRUE, @ ,NOP,2022-02-16T01:00:00.0000000Z,219,12.6,12.6,-2,21st,21,Medium,,,3,NOP,1060919-5776683
63753,21347839,Moses,Wright,Moses Wright,M. Wright,1060920,592433,SF/PF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/592433.png,https://dkn.gs/sports/images/nba/players/160/592433.png,"","",5777607,LAC @ PHX,LAC,TRUE, @ ,PHX,2022-02-16T03:00:00.0000000Z,5777607,LAC @ PHX,LAC,TRUE, @ ,PHX,2022-02-16T03:00:00.0000000Z,219,1.5,1.5,-2,8th,8,Low,,,12,LAC,1060920-5777607
63753,21347883,Chaundee,Brown Jr.,Chaundee Brown Jr.,C. Brown Jr.,1060954,591153,PG/SG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591153.png,https://dkn.gs/sports/images/nba/players/160/591153.png,"","",5771577,CLE @ ATL,CLE,TRUE, @ ,ATL,2022-02-16T00:30:00.0000000Z,5771577,CLE @ ATL,CLE,TRUE, @ ,ATL,2022-02-16T00:30:00.0000000Z,219,12.7,12.7,-2,16th,16,Medium,,,1,ATL,1060954-5771577
63753,21347728,Lindell,Wigginton,Lindell Wigginton,L. Wigginton,1060959,33208,PG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33208.png,https://dkn.gs/sports/images/nba/players/160/33208.png,"","",5775549,IND @ MIL,IND,TRUE, @ ,MIL,2022-02-16T01:00:00.0000000Z,5775549,IND @ MIL,IND,TRUE, @ ,MIL,2022-02-16T01:00:00.0000000Z,219,6.9,6.9,-2,16th,16,Medium,,,15,MIL,1060959-5775549
63753,21347707,Marcus,Garrett,Marcus Garrett,M. Garrett,1060962,591165,PG/SG,458,3000,OUT,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591165.png,https://dkn.gs/sports/images/nba/players/160/591165.png,"","",5775537,DAL @ MIA,DAL,TRUE, @ ,MIA,2022-02-16T00:30:00.0000000Z,5775537,DAL @ MIA,DAL,TRUE, @ ,MIA,2022-02-16T00:30:00.0000000Z,219,5.6,5.6,-2,8th,8,Low,,,14,MIA,1060962-5775537
63753,21347148,Trae,Young,Trae Young,T. Young,1060978,32850,PG,458,9300,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32850.png,https://dkn.gs/sports/images/nba/players/160/32850.png,"","",5771577,CLE @ ATL,CLE,TRUE, @ ,ATL,2022-02-16T00:30:00.0000000Z,5771577,CLE @ ATL,CLE,TRUE, @ ,ATL,2022-02-16T00:30:00.0000000Z,219,49.1,49.1,-2,5th,5,Low,100,true,1,ATL,1060978-5771577
63753,21348013,RJ,Nembhard,RJ Nembhard,R. Nembhard,1060982,591148,PG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/591148.png,https://dkn.gs/sports/images/nba/players/160/591148.png,"","",5771577,CLE @ ATL,CLE,TRUE, @ ,ATL,2022-02-16T00:30:00.0000000Z,5771577,CLE @ ATL,CLE,TRUE, @ ,ATL,2022-02-16T00:30:00.0000000Z,219,3.9,3.9,-2,28th,28,High,,,5,CLE,1060982-5771577
