pos,name,salary,rest,start,team,opp,dv_p,dk_fp_projected,value_projected,fp_min,fp_avg,fp_max,o_u,tm_pts
,,,,,,,,,,,,,,
C,N. Jokic,$12.2k,1,YES,DEN,LAC,19,65.5,5.37,67.3,73.1,83.3,225,114.8
C,Joel Embiid Q,$11.5k,1,YES,PHI,IND,8,64.5,5.61,47.3,61.4,75.8,240,122.5
PG,Luka Doncic,$11.8k,1,YES,DAL,NO,25,59.8,5.07,45.3,55.2,65.0,239,121.3
PG,Shai Gilgeous-Alexander,$10.3k,1,YES,OKC,SA,24,54.3,5.27,43.3,54.5,65.8,238.5,124.5
C,A. Davis Q,$10.1k,1,EXP.,LAL,MEM,12,51.6,5.11,24.0,49.0,62.3,225.5,116
PG,T. Haliburton,$10.2k,1,YES,IND,PHI,23,51.2,5.02,42.0,55.0,69.5,240,117.5
PG,LaMelo Ball,$10.4k,1,YES,CHA,MIA,14,47.8,4.60,33.5,51.0,70.0,222.5,108.8
SF/PF,L. James Q,$9.8k,3,EXP.,LAL,MEM,25,47.3,4.83,27.0,49.6,68.0,225.5,116
PG,T. Maxey,$8.9k,1,YES,PHI,IND,10,46.6,5.24,46.3,56.4,74.8,240,122.5
C,Bam Adebayo,$9.0k,1,YES,MIA,CHA,10,45.8,5.09,25.5,52.8,70.3,222.5,113.8
PG/SG,K. Irving,$8.7k,1,YES,DAL,NO,25,45.5,5.23,35.5,46.2,58.0,239,121.3
PF/C,V. Wembanyama,$8.6k,1,YES,SA,OKC,28,45.3,5.27,28.8,42.5,56.3,238.5,114
SF/PF,L. Markkanen,$8.7k,3,YES,UTA,POR,14,44.2,5.08,36.5,40.4,44.8,230,118.3
PG/SG,D. Murray,$8.3k,2,YES,ATL,DET,11,44.1,5.31,26.3,40.6,46.5,225.5,114.8
SG,Desmond Bane,$9.0k,1,EXP.,MEM,LAL,17,44.0,4.89,32.3,50.8,67.5,225.5,109.5
PF/C,Zion Williamson,$8.5k,1,YES,NO,DAL,11,43.5,5.12,25.5,38.4,51.5,239,117.8
SG/SF,B. Ingram,$8.4k,1,YES,NO,DAL,9,42.8,5.10,29.5,35.7,47.5,239,117.8
SG/SF,A. Edwards,$9.1k,1,YES,MIN,GSW,20,42.7,4.69,49.3,53.1,61.3,217,110
SF/PF,J. Butler,$8.6k,1,YES,MIA,CHA,12,42.4,4.93,26.3,35.7,46.0,222.5,113.8
PF/C,K. Towns,$8.1k,1,YES,MIN,GSW,22,41.1,5.07,21.0,37.8,51.0,217,110
PF,P. Banchero,$8.0k,2,YES,ORL,BKN,9,40.3,5.04,33.0,45.7,56.3,219,107.8
PF/C,J. Jackson Jr.,$8.3k,1,EXP.,MEM,LAL,21,40.0,4.82,21.0,36.0,57.0,225.5,109.5
SF/PF,K. Leonard,$8.2k,1,YES,LAC,DEN,19,39.8,4.85,29.8,37.8,58.5,225,110.3
SG/SF,Paul George,$8.8k,1,YES,LAC,DEN,6,39.2,4.45,16.3,36.5,49.5,225,110.3
C,Chet Holmgren,$7.6k,1,YES,OKC,SA,25,38.8,5.11,24.3,37.2,45.5,238.5,124.5
PF,J. Grant,$7.5k,1,YES,POR,UTA,24,38.6,5.15,26.3,40.3,63.3,230,111.8
SG,Cade Cunningham,$8.0k,1,YES,DET,ATL,5,38.3,4.79,24.8,37.3,53.5,225.5,110.8
C,D. Ayton,$7.0k,1,YES,POR,UTA,18,38.2,5.46,23.8,33.8,43.8,230,111.8
SG/SF,S. Sharpe,$7.9k,1,YES,POR,UTA,29,37.8,4.78,24.3,34.8,51.8,230,111.8
