name,salary,pos,rest,team,opp,l5_dv_p,sprd,o_u,tm_pts,fp_min,fp_avg,fp_max,dk_fp_projected,value_projected
Luka Doncic,$12.0k,PG,2,DAL,MIA,11,+3.5,207.5,102,52.0,69.5,77.8,56.0,4.67
Joel Embiid,$11.6k,C,2,PHI,BOS,6,+2.5,210,103.8,59.5,66.0,81.5,55.8,4.81
G. Antetokounmpo Q,$11.8k,SF/PF,4,MIL,IND,3,-12.5,234,123.3,39.3,60.8,82.0,54.5,4.62
K. Towns,$9.8k,C,1,MIN,CHA,22,-6,244,125,34.8,43.7,55.5,49.5,5.05
Trae Young,$9.3k,PG,1,ATL,CLE,3,+1,220,109.5,35.5,47.7,55.8,47.5,5.11
LaMelo Ball,$9.1k,PG,2,CHA,MIN,23,+6,244,119,24.5,45.2,67.3,45.5,5
J. Tatum,$9.7k,SF/PF,1,BOS,PHI,9,-2.5,210,106.3,34.3,44.0,63.5,45.5,4.69
Ja Morant Q,$9.5k,PG,2,MEM,NO,19,-4.5,228.5,116.5,39.0,44.2,48.3,45.3,4.76
Chris Paul,$8.8k,PG,2,PHO,LAC,27,-12.5,223.5,118,36.0,44.5,58.8,44.5,5.06
D. Booker,$8.4k,SG,2,PHO,LAC,13,-12.5,223.5,118,27.3,41.5,54.5,43.5,5.18
T. Haliburton,$8.5k,PG/SG,1,IND,MIL,28,+12.5,234,110.8,30.0,44.1,57.3,41.0,4.82
J. Butler Q,$8.6k,SF/PF,2,MIA,DAL,19,-3.5,207.5,105.5,23.5,35.2,52.0,40.8,4.74
A. Edwards,$8.0k,SG/SF,1,MIN,CHA,28,-6,244,125,14.3,38.2,61.3,40.3,5.03
J. Brown,$8.3k,SG/SF,1,BOS,PHI,5,-2.5,210,106.3,25.8,34.6,43.3,40.0,4.82
Bam Adebayo,$7.9k,C,2,MIA,DAL,19,-3.5,207.5,105.5,36.3,44.9,50.0,39.5,5
B. Ingram,$8.2k,SG/SF,0,NO,MEM,16,+4.5,228.5,112,20.3,37.7,63.8,38.8,4.73
