draft_group,draftableId,firstName,lastName,displayName,shortName,playerId,playerDkId,position,rosterSlotId,salary,status,isSwappable,isDisabled,newsStatus,playerImage50,playerImage160,altPlayerImage50,altPlayerImage160,competition.competitionId,competition.name,competition.nameDisplay.value,competition.nameDisplay.isEmphasized,competition.nameDisplay.value.1,competition.nameDisplay.value.2,competition.startTime,competitions.competitionId,competitions.name,competitions.nameDisplay.value,competitions.nameDisplay.isEmphasized,competitions.nameDisplay.value.1,competitions.nameDisplay.value.2,competitions.startTime,draftStatAttributes.id,draftStatAttributes.value,draftStatAttributes.sortValue,draftStatAttributes.id.1,draftStatAttributes.value.1,draftStatAttributes.sortValue.1,draftStatAttributes.quality,teamId,teamAbbreviation,playerGameHash,playerGameAttributes.id,playerGameAttributes.value
58792,19986843,Frank,Ntilikina,Frank Ntilikina,F. Ntilikina,1056995,33237,PG/SG,458,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33237.png,https://dkn.gs/sports/images/nba/players/160/33237.png,"","",5776929,DAL @ SAS,DAL,TRUE, @ ,SAS,2021-11-04T00:30:00.0000000Z,5776929,DAL @ SAS,DAL,TRUE, @ ,SAS,2021-11-04T00:30:00.0000000Z,219,11.6,11.6,-2,14th,14,Medium,6,DAL,1056995-5776929,,
58792,19986748,Isaiah,Hartenstein,Isaiah Hartenstein,I. Hartenstein,1057004,33079,C,462,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/players/50/33079.png,https://dkn.gs/sports/images/nba/players/160/33079.png,"","",5775375,LAC @ MIN,LAC,TRUE, @ ,MIN,2021-11-04T00:00:00.0000000Z,5775375,LAC @ MIN,LAC,TRUE, @ ,MIN,2021-11-04T00:00:00.0000000Z,219,18.3,18.3,-2,29th,29,High,12,LAC,1057004-5775375,,
58792,19986811,Vlatko,Cancar,Vlatko Cancar,V. Cancar,1057007,33022,SF,460,3000,OUT,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33022.png,https://dkn.gs/sports/images/nba/players/160/33022.png,"","",5774679,DEN @ MEM,DEN,TRUE, @ ,MEM,2021-11-04T00:00:00.0000000Z,5774679,DEN @ MEM,DEN,TRUE, @ ,MEM,2021-11-04T00:00:00.0000000Z,-2,29th,29,219,-,"",High,7,DEN,1057007-5774679,,
58792,19986273,Mitch,Ballock,Mitch Ballock,M. Ballock,1060387,592480,PG/SG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32908.png,https://dkn.gs/sports/images/nba/teams/160/32908.png,"","",5771661,POR @ CLE,POR,TRUE, @ ,CLE,2021-11-03T23:00:00.0000000Z,5771661,POR @ CLE,POR,TRUE, @ ,CLE,2021-11-03T23:00:00.0000000Z,-2,10th,10,219,-,"",Medium,5,CLE,1060387-5771661,,
58792,19985917,Naji,Marshall,Naji Marshall,N. Marshall,1060704,535788,PF,461,3500,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32938.png,https://dkn.gs/sports/images/nba/teams/160/32938.png,"","",5773527,NOP @ SAC,NOP,TRUE, @ ,SAC,2021-11-04T02:00:00.0000000Z,5773527,NOP @ SAC,NOP,TRUE, @ ,SAC,2021-11-04T02:00:00.0000000Z,219,10.2,10.2,-2,7th,7,Low,3,NOP,1060704-5773527,,
58792,19986635,Aamir,Simms,Aamir Simms,A. Simms,1060906,591859,SF/PF,460,3000,None,TRUE,FALSE,None,https://dkn.gs/sports/images/nba/teams/50/32940.png,https://dkn.gs/sports/images/nba/teams/160/32940.png,"","",5773611,NYK @ IND,NYK,TRUE, @ ,IND,2021-11-03T23:00:00.0000000Z,5773611,NYK @ IND,NYK,TRUE, @ ,IND,2021-11-03T23:00:00.0000000Z,-2,1st,1,219,-,"",Low,18,NYK,1060906-5773611,,
58792,19985597,Gary,Trent Jr.,Gary Trent Jr.,G. Trent Jr.,1060908,33331,SG/SF,459,5100,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/33331.png,https://dkn.gs/sports/images/nba/players/160/33331.png,"","",5772795,TOR @ WAS,TOR,TRUE, @ ,WAS,2021-11-03T23:00:00.0000000Z,5772795,TOR @ WAS,TOR,TRUE, @ ,WAS,2021-11-03T23:00:00.0000000Z,219,27.8,27.8,-2,1st,1,Low,28,TOR,1060908-5772795,,
58792,19985488,Wendell,Carter Jr.,Wendell Carter Jr.,W. Carter Jr.,1060912,32972,PF/C,461,6100,None,TRUE,FALSE,Recent,https://dkn.gs/sports/images/nba/players/50/32972.png,https://dkn.gs/sports/images/nba/players/160/32972.png,"","",5775951,BOS @ ORL,BOS,TRUE, @ ,ORL,2021-11-03T23:00:00.0000000Z,5775951,BOS @ ORL,BOS,TRUE, @ ,ORL,2021-11-03T23:00:00.0000000Z,219,31.7,31.7,-2,20th,20,Medium,19,ORL,1060912-5775951,,
58792,19986912,Jose,Alvarado,Jose Alvarado,J. Alvarado,1060919,591175,PG,458,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32938.png,https://dkn.gs/sports/images/nba/teams/160/32938.png,"","",5773527,NOP @ SAC,NOP,TRUE, @ ,SAC,2021-11-04T02:00:00.0000000Z,5773527,NOP @ SAC,NOP,TRUE, @ ,SAC,2021-11-04T02:00:00.0000000Z,-2,30th,30,219,-,"",High,3,NOP,1060919-5773527,,
58792,19986764,Moses,Wright,Moses Wright,M. Wright,1060920,592433,SF/PF,460,3000,None,TRUE,FALSE,,https://dkn.gs/sports/images/nba/teams/50/32925.png,https://dkn.gs/sports/images/nba/teams/160/32925.png,"","",5775375,LAC @ MIN,LAC,TRUE, @ ,MIN,2021-11-04T00:00:00.0000000Z,5775375,LAC @ MIN,LAC,TRUE, @ ,MIN,2021-11-04T00:00:00.0000000Z,-2,-,"",219,-,"",,12,LAC,1060920-5775375,,
